provincia,departamento,poblacion
Neuquén,Confluencia,362673
Río Negro,Bariloche,133500
Río Negro,General Roca,320921
Neuquén,Zapala,36549
Río Negro,Adolfo Alsina,57678
Neuquén,Lácar,29748
Neuquén,Huiliches,14725
Neuquén,Chos Malal,15256
Neuquén,Pehuenches,24087
Neuquén,Los Lagos,11998
Río Negro,San Antonio,29284
Neuquén,Aluminé,8306
Río Negro,Avellaneda,35323
Neuquén,Loncopué,6925
Neuquén,Minas,7234
Neuquén,Picunches,7022
Neuquén,Picún Leufú,4578
Río Negro,Pichi Mahuida,14107
Neuquén,Añelo,10786
Neuquén,Ñorquín,4692
Neuquén,Collón Curá,4532
Río Negro,Pilcaniyeu,7428
Río Negro,Conesa,7069
Río Negro,25 de Mayo,15743
Neuquén,Catán Lil,2155
Río Negro,Valcheta,7101
Río Negro,El Cuy,5280
Río Negro,Ñorquinco,1736
Río Negro,9 de julio,3475
